Event,Arm Time,Camera Time,Time Diff,Expected,Detected,Correct
128,15.53333333,15.533333333333331,3.3333318327777306e-09,Cross,Cross,True
129,15.56666667,15.566666666666666,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
130,15.6,15.6,0.0,Rear Uppercut,Rear Uppercut,True
131,15.63333333,15.633333333333333,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
132,15.8,15.8,0.0,Cross,Cross,True
133,15.83333333,15.833333333333334,3.33333360913457e-09,Cross,Cross,True
134,15.86666667,15.866666666666667,3.33333360913457e-09,Cross,Cross,True
135,16.06666667,16.066666666666666,3.33333360913457e-09,Rear Hook,Rear Hook,True
136,16.13333333,16.133333333333333,3.33333360913457e-09,Cross,Cross,True
137,16.16666667,16.166666666666668,3.33333360913457e-09,Cross,Cross,True
138,16.2,16.2,0.0,Cross,Cross,True
139,16.23333333,16.233333333333334,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
140,16.26666667,16.266666666666666,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
141,16.3,16.3,0.0,Rear Uppercut,Rear Uppercut,True
142,16.33333333,16.333333333333332,3.33333360913457e-09,Rear Hook,Rear Hook,True
143,16.43333333,16.433333333333334,3.33333360913457e-09,Cross,Cross + Rear Hook,True
144,16.46666667,16.466666666666665,3.33333360913457e-09,Cross,Cross,True
145,16.5,16.5,0.0,Cross,Cross,True
146,16.53333333,16.533333333333335,3.33333360913457e-09,Cross,Cross + Rear Uppercut,True
147,16.56666667,16.566666666666666,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
148,16.6,16.6,0.0,Rear Uppercut,Rear Uppercut,True
149,16.73333333,16.733333333333334,3.33333360913457e-09,Rear Hook,Rear Hook,True
150,17.03333333,17.033333333333335,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
151,17.06666667,17.066666666666666,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
152,17.1,17.1,0.0,Lead Uppercut,Lead Uppercut,True
153,17.13333333,17.133333333333333,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
154,17.16666667,17.166666666666668,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
155,17.4,17.4,0.0,Lead Uppercut,Lead Uppercut,True
156,17.43333333,17.433333333333334,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
157,17.46666667,17.466666666666665,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
158,17.76666667,17.766666666666666,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
159,17.8,17.8,0.0,Lead Uppercut,Lead Uppercut,True
160,17.83333333,17.833333333333332,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
161,17.86666667,17.866666666666667,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
162,18.56666667,18.566666666666663,3.333337161848249e-09,Lead Uppercut,Lead Uppercut,True
163,18.63333333,18.633333333333333,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
164,18.66666667,18.666666666666668,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
165,18.7,18.7,0.0,Lead Uppercut,Lead Uppercut,True
166,19.86666667,19.866666666666667,3.33333360913457e-09,Jab,Jab + Cross,True
167,19.9,19.9,0.0,Jab,Jab + Cross,True
168,20.26666667,20.266666666666666,3.33333360913457e-09,Rear Hook,Rear Hook,True
169,20.56666667,20.566666666666663,3.333337161848249e-09,Lead Uppercut,Lead Uppercut,True
170,20.93333333,20.933333333333334,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
171,20.96666667,20.966666666666665,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
172,21.1,21.1,0.0,Rear Uppercut,Rear Uppercut,True
173,21.13333333,21.133333333333333,3.33333360913457e-09,Rear Uppercut,Rear Uppercut,True
